,Layers,Training,Validation,Development,Test,Total
127,"(496, 631, 68)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
128,"(233, 229, 572, 616, 728)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
129,"(307, 621, 222, 718, 764, 66, 212, 427)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
130,"(60, 604, 459, 268, 769, 594, 796, 75, 572, 594)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
131,"(472, 793)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
132,"(722, 710, 207, 24, 802, 608, 20, 895, 195)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
133,"(254, 696, 732, 387, 807, 692, 127, 20)",0.9995602369308472,0.9984603524208069,0.9993159174919128,0.9916236996650696,0.9975373148918152
134,"(849, 882, 312, 699, 837)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
135,"(627, 899, 276, 869, 539, 405, 171, 750, 750)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
136,"(829,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
137,"(44, 839, 539, 736, 839, 470, 727, 559)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
138,"(401,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
139,"(390,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
140,"(466, 788, 765, 667, 226, 844)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
141,"(591, 640, 59, 645, 753, 59, 251, 229, 677, 88)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
142,"(443,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
143,"(130, 796, 731, 270, 606, 735, 423, 812, 859)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
144,"(758, 214, 57, 797)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
145,"(830, 779, 511, 446, 730, 682, 470, 716, 12, 819)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
146,"(152, 710, 458, 632, 411, 265, 723, 380)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
147,"(869, 693, 768, 302, 790, 149, 721, 508, 127, 93)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9942010045051575,0.998306930065155
148,"(427, 70, 814, 210, 198, 641, 435, 402, 858)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
149,"(696, 252, 535, 771, 130, 565, 599)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
150,"(318, 828, 551, 659, 33, 303, 124, 387, 204, 539)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
151,"(689, 809, 895, 427, 183, 114, 664)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
152,"(457, 327, 49, 821, 161, 640)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
153,"(769, 626, 549, 330, 392, 632, 162, 192)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
154,"(846, 268, 436, 785, 569)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
155,"(382, 450, 39)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
156,"(653, 654, 808)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
157,"(12, 704)",0.9991204738616943,0.9984603524208069,0.9989738464355469,0.9948453903198242,0.9979990720748901
158,"(329, 141, 62, 705, 51, 140)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
