Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 23, 1)",208,0.0787404254078865,0.30002763867378235,0.08925126492977142,0.11783624440431595
"(7, 12, 8, 1)",209,0.07920153439044952,0.3893724977970123,0.10379866510629654,0.1340012401342392
"(7, 8, 7, 9, 1)",209,0.07772703468799591,0.23373213410377505,0.0952308624982834,0.10528924316167833
"(7, 7, 17, 1)",210,0.07965145260095596,0.2620778977870941,0.1065789982676506,0.11188175529241562
"(7, 13, 7, 1)",210,0.07738794386386871,0.3797578513622284,0.09869062155485152,0.1308092474937439
"(7, 7, 8, 9, 1)",211,0.07935065031051636,0.26102229952812195,0.10632366687059402,0.11144760251045227
"(7, 7, 7, 11, 1)",212,0.07844455540180206,0.2703690230846405,0.09682439267635344,0.1123528704047203
"(7, 10, 11, 1)",213,0.07568791508674623,0.2433873862028122,0.09792236983776093,0.10531625896692276
"(7, 9, 7, 8, 1)",215,0.08014518767595291,0.2713331878185272,0.09911790490150453,0.11392337828874588
"(7, 8, 15, 1)",215,0.07725826650857925,0.3248040974140167,0.09197875112295152,0.12099343538284305
"(7, 9, 13, 1)",216,0.07859622687101364,0.25573530793189997,0.0986173376441002,0.10989225655794144
"(7, 24, 1)",217,0.0789291188120842,0.2777745425701141,0.08931228518486023,0.11406024545431134
"(7, 7, 9, 8, 1)",217,0.07497556507587433,0.4403747022151947,0.10668659210205078,0.13953253626823425
"(7, 8, 8, 8, 1)",217,0.07877302169799805,0.2220587134361267,0.09422122687101364,0.10408801585435867
"(7, 8, 7, 10, 1)",218,0.07806417346000671,0.2746611535549164,0.0993000939488411,0.11279796063899995
"(7, 11, 10, 1)",219,0.07743624597787857,0.23503996431827545,0.09907297790050508,0.10528092086315156
"(7, 7, 18, 1)",219,0.07773460447788239,0.19333720207214355,0.10151827335357666,0.09815878421068193
"(7, 10, 7, 7, 1)",221,0.07780599594116211,0.4232709407806397,0.09179028868675232,0.13884109258651733
"(7, 7, 10, 7, 1)",221,0.07906099408864975,0.3627114593982697,0.10541889816522597,0.12917497754096985
"(7, 7, 7, 12, 1)",221,0.08050371706485747,0.28120434284210205,0.09592635184526443,0.11596261709928513
"(7, 7, 8, 10, 1)",221,0.07589752972126007,0.2729518413543701,0.09587685018777847,0.11071213334798813
"(7, 12, 9, 1)",223,0.08099385350942613,0.2102088928222656,0.09890478849411012,0.10382291674613953
"(7, 9, 8, 7, 1)",223,0.07899492979049683,0.2756904363632202,0.09122607856988907,0.11374622583389282
"(7, 8, 9, 7, 1)",223,0.07943321764469148,0.3118098676204681,0.09478197246789932,0.12048853933811188
"(7, 9, 7, 9, 1)",224,0.0763479545712471,0.394356369972229,0.1105494275689125,0.1325320452451706
"(7, 10, 12, 1)",225,0.07745478302240373,0.2873861193656921,0.09974087029695512,0.11454448848962785
"(7, 14, 7, 1)",225,0.07680963724851607,0.34762322902679443,0.09331227093935013,0.12465593963861465
"(7, 13, 8, 1)",225,0.07577033340930939,0.3159724771976471,0.09790060669183732,0.11820808798074722
"(7, 8, 16, 1)",225,0.07746684551239014,0.20136287808418274,0.09763141721487044,0.09935621172189713
"(7, 25, 1)",226,0.0791417732834816,0.3197319209575653,0.0944397896528244,0.12164805829524995
"(7, 9, 14, 1)",227,0.07814189046621323,0.2953546345233917,0.09643061459064484,0.1165180280804634
"(7, 8, 7, 11, 1)",227,0.0807596743106842,0.4018116891384125,0.09649210423231123,0.13748162984848022
"(7, 8, 8, 9, 1)",227,0.07541032135486603,0.2881722152233124,0.09530388563871384,0.11300010979175568
"(7, 7, 19, 1)",228,0.07954439520835876,0.3592197000980377,0.09668350964784622,0.12895627319812775
"(7, 7, 9, 9, 1)",228,0.07581368833780289,0.2396542429924011,0.09561306983232498,0.10476026684045793
"(7, 10, 7, 8, 1)",230,0.07595260441303253,0.2285172194242477,0.10452059656381607,0.10290705412626266
"(7, 7, 7, 13, 1)",230,0.07910003513097763,0.1981927305459976,0.10295834392309187,0.1001407355070114
"(7, 7, 8, 11, 1)",231,0.08199457079172134,0.2831164300441742,0.10207656770944597,0.11752790957689285
"(7, 7, 7, 7, 7, 1)",232,0.0794321820139885,0.2294042855501175,0.1014896035194397,0.10592857003211976
"(7, 11, 11, 1)",232,0.07698921114206314,0.22417645156383514,0.09217866510152817,0.10299356281757356
"(7, 9, 7, 10, 1)",233,0.08056306838989258,0.21887530386447904,0.09839081019163133,0.10499952733516693
"(7, 7, 10, 8, 1)",233,0.07780198007822038,0.3032476305961609,0.09996172785758972,0.1176326721906662
"(7, 9, 8, 8, 1)",233,0.07627411186695099,0.37344759702682495,0.09823207557201384,0.12877722084522247
"(7, 8, 9, 8, 1)",234,0.07915840297937393,0.43805843591690063,0.11061551421880722,0.14256732165813446
"(7, 8, 17, 1)",235,0.07847370207309723,0.30066394805908203,0.102221742272377,0.11772924661636353
"(7, 7, 11, 7, 1)",236,0.07801595330238342,0.2587573826313019,0.09803207218647003,0.10994845628738403
"(7, 11, 7, 7, 1)",236,0.07400307804346085,0.2311157435178757,0.10140709578990936,0.1017610803246498
"(7, 8, 7, 12, 1)",236,0.07786430418491364,0.2902546525001526,0.09986114501953124,0.11538850516080855
"(7, 7, 20, 1)",237,0.07752268761396408,0.2909451723098755,0.0951615869998932,0.11522911489009854
"(7, 8, 8, 10, 1)",237,0.07781891524791718,0.3242718577384949,0.09865708649158478,0.12136123329401015
"(7, 12, 10, 1)",237,0.07852769643068314,0.2834546566009521,0.09992672502994536,0.11473322659730913
"(7, 10, 13, 1)",237,0.07885544747114183,0.24032875895500186,0.10272333770990373,0.10738382488489152
"(7, 9, 15, 1)",238,0.07776308804750443,0.33412691950798035,0.10633692890405656,0.12305617332458495
"(7, 8, 10, 7, 1)",239,0.07732973992824554,0.2167386710643769,0.09654215723276137,0.10195979475975037
"(7, 10, 7, 9, 1)",239,0.07823099941015244,0.24081967771053314,0.09823983907699584,0.106956385076046
"(7, 7, 7, 14, 1)",239,0.07641977071762085,0.2810167074203491,0.09277498722076416,0.11256710439920424
"(7, 7, 9, 10, 1)",239,0.07996103167533875,0.1964600831270218,0.09275976568460463,0.1005435362458229
"(7, 10, 8, 7, 1)",239,0.07655751705169678,0.2182094901800156,0.09991823881864548,0.1015838235616684
"(7, 15, 7, 1)",240,0.07453576475381851,0.39335182309150696,0.09445559233427048,0.13086269795894626
"(7, 9, 9, 7, 1)",240,0.07784143090248108,0.26377877593040466,0.09651022404432297,0.1106918603181839
"(7, 13, 9, 1)",240,0.07991175353527069,0.2982358634471893,0.10451949387788773,0.118484228849411
"(7, 7, 8, 12, 1)",241,0.07793837040662767,0.2684413492679596,0.10209857672452928,0.1115955337882042
"(7, 7, 7, 7, 8, 1)",241,0.07837901264429092,0.2815086543560028,0.10517223179340364,0.11426694691181186
"(7, 14, 8, 1)",241,0.07684939354658127,0.27736908197402954,0.09830841422080994,0.11227630823850633
"(7, 9, 7, 11, 1)",242,0.08160313218832016,0.2752620279788971,0.10137848556041718,0.11581782251596452
"(7, 9, 8, 9, 1)",243,0.07466021925210953,0.3154856860637665,0.10216660797595978,0.11720824241638185
"(7, 11, 7, 8, 1)",245,0.07954701781272888,0.2857958674430847,0.09681212157011032,0.11598613113164905
"(7, 11, 12, 1)",245,0.08042529970407486,0.2287740707397461,0.09525029361248016,0.10663487762212752
"(7, 7, 10, 9, 1)",245,0.07932376116514206,0.2167651206254959,0.1008579209446907,0.10360615700483322
"(7, 8, 7, 13, 1)",245,0.07637426257133484,0.5384125113487244,0.0970287024974823,0.158005028963089
"(7, 8, 9, 9, 1)",245,0.07644955813884735,0.3264358639717102,0.10246269404888153,0.12061599642038345
"(7, 8, 18, 1)",245,0.07875731587409973,0.2080854028463364,0.09468773752450944,0.10160636901855467
"(7, 7, 21, 1)",246,0.07714355736970901,0.2818318009376526,0.10312172770500183,0.11330697685480118
"(7, 8, 8, 11, 1)",247,0.07965299487113953,0.26600244641304016,0.0993739813566208,0.11257637292146684
"(7, 8, 7, 7, 7, 1)",247,0.07813823223114014,0.274074524641037,0.09897517412900923,0.11275526881217955
"(7, 7, 7, 8, 7, 1)",247,0.07764827460050583,0.20437826216220856,0.0925917997956276,0.10003842413425446
