Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 2, 3, 1, 1, 2, 1)",38,0.2951078414916992,0.5913130640983582,0.04015189781785011,0.3496236503124237
"(7, 2, 1, 2, 2, 2, 1)",38,0.2921929359436035,0.23276394605636605,0.03602035343647003,0.399330884218216
"(7, 2, 1, 1, 3, 2, 1)",38,0.3049012720584869,0.3683280646800995,0.10612042248249054,0.384486585855484
"(7, 3, 1, 3, 1)",38,0.33403080701828003,0.2899080216884613,0.044592738151550286,0.4190304577350617
"(7, 2, 3, 1, 2, 1, 1)",38,0.30837878584861755,0.5814075469970703,0.04862577840685845,0.43783098459243774
"(7, 2, 1, 3, 2, 1, 1)",38,0.31096306443214417,0.180864155292511,0.05608122795820236,0.3575471043586731
"(7, 2, 2, 2, 1, 2, 1)",38,0.3213946521282196,0.6848233938217163,0.05909721925854682,0.4069841802120209
"(7, 2, 1, 6, 1)",38,0.3217663466930389,1.3635574579238892,0.07940834015607834,0.6093180179595947
"(7, 2, 1, 1, 2, 3, 1)",38,0.2964594662189484,0.20157526433467865,0.07370119541883469,0.35038143396377563
"(7, 2, 2, 1, 4, 1)",38,0.33093202114105225,0.3298386037349701,0.1723470389842987,0.4084557890892029
"(7, 2, 1, 2, 3, 1, 1)",38,0.30063873529434204,0.3225511014461517,0.0932304635643959,0.4522848725318909
"(7, 2, 3, 2, 1, 1)",38,0.2980698049068451,0.21083323657512665,0.08590973168611526,0.497186541557312
"(7, 2, 2, 1, 2, 2, 1)",38,0.3088779151439667,0.2266875654459,0.09621980041265488,0.3604998290538788
"(7, 2, 2, 4, 1)",39,0.3296104967594147,0.3474375009536743,0.037959452718496316,0.3817930519580841
"(7, 2, 1, 5, 1, 1, 1)",39,0.33074745535850525,0.3468092978000641,0.14547954499721527,0.4122627377510071
"(7, 3, 1, 1, 2, 1, 1)",39,0.3001908957958221,0.20078225433826447,0.05965418368577957,0.35354098677635193
"(7, 2, 1, 1, 5, 1, 1)",39,0.286004900932312,0.6194994449615479,0.059594333171844475,0.3987053334712982
"(7, 2, 1, 4, 1, 2, 1)",39,0.3272013962268829,0.19850999116897586,0.03523620590567589,0.39674922823905945
"(7, 2, 5, 1, 1)",39,0.31489259004592896,0.730155348777771,0.0849713608622551,0.3824795484542847
"(7, 2, 1, 1, 1, 5, 1)",39,0.6564752459526062,0.6169358491897583,0.4551952183246613,0.8885014057159424
"(7, 3, 1, 2, 1, 1, 1)",39,0.3036096692085266,0.15207801759243011,0.09155616164207456,0.3628169894218445
"(7, 2, 1, 3, 1, 3, 1)",39,0.3070448338985443,0.1929597109556198,0.1506243348121643,0.375487744808197
"(7, 4, 1, 1)",39,0.3058099150657654,0.3486841320991516,0.05989508330821991,0.4135462939739227
"(7, 2, 2, 3, 1, 1, 1)",39,0.3039131164550781,0.2447813302278519,0.07126399874687195,0.3415401875972748
"(7, 2, 2, 2, 2, 1, 1)",39,0.3455568253993988,0.4480694532394409,0.4096258282661438,1.0339672565460205
"(7, 2, 4, 1, 1, 1, 1)",39,0.3104836344718933,0.25334814190864563,0.0343794971704483,0.37465861439704895
"(7, 3, 1, 1, 1, 2, 1)",39,0.30473098158836365,0.4679872095584869,0.03936180472373962,0.3987846374511719
"(7, 3, 2, 1, 1, 1)",39,0.3106677532196045,0.7692950963973999,0.08325338363647461,0.43411847949028015
"(7, 2, 1, 2, 1, 4, 1)",39,0.30897560715675354,0.1585708111524582,0.04687559977173805,0.3642003536224365
"(7, 2, 3, 1, 3, 1)",39,0.30346792936325073,0.15425129234790802,0.08612502366304398,0.3535309731960297
"(7, 2, 1, 1, 6, 1)",40,0.30663883686065674,0.2551301419734955,0.10156922787427902,0.3570601940155029
"(7, 2, 1, 2, 4, 1)",40,0.3079499304294586,0.2338603883981705,0.06114574521780014,0.35075151920318604
"(7, 2, 2, 1, 1, 4, 1)",40,0.2952528893947601,0.20301611721515656,0.0407087467610836,0.3645108640193939
"(7, 3, 1, 3, 1, 1)",40,0.29327040910720825,0.23225902020931244,0.03971164673566818,0.3800439834594727
"(7, 2, 2, 1, 4, 1, 1)",40,0.3159877359867096,0.17685988545417786,0.029909029603004456,0.4454798102378845
"(7, 2, 3, 2, 1, 1, 1)",40,0.3237866163253784,0.2714346051216125,0.12732459604740146,0.3592514395713806
"(7, 3, 3, 1)",40,0.3081660866737366,0.2482971549034119,0.08247243613004683,0.3875790536403656
"(7, 2, 1, 4, 2, 1)",40,0.3018041253089905,0.1688084900379181,0.08260950446128845,0.39721837639808655
"(7, 2, 1, 6, 1, 1)",40,0.6697190999984741,0.7006876468658447,0.4449121654033661,0.7691344618797302
"(7, 3, 1, 1, 3, 1)",40,0.31439825892448425,0.2938268184661865,0.10760470479726793,0.396833598613739
"(7, 2, 4, 1, 2, 1)",40,0.3066680431365967,0.3293823301792145,0.044802092015743256,0.4050270617008209
"(7, 2, 3, 1, 1, 3, 1)",41,0.6605347990989685,0.33870983123779297,0.39995235204696655,0.8578867912292479
"(7, 2, 1, 7, 1)",41,0.3161067366600037,0.4405513405799866,0.054432496428489685,0.4249238669872284
"(7, 2, 4, 2, 1)",41,0.29821377992630005,0.20110657811164856,0.08098828792572021,0.3702042698860169
"(7, 2, 2, 2, 3, 1)",41,0.3018935024738312,0.1991669982671737,0.05307970568537712,0.3734238147735596
"(7, 2, 2, 4, 1, 1)",41,0.2962430715560913,0.26343995332717896,0.034497078508138664,0.39263099431991577
"(7, 2, 6, 1)",41,0.3124461770057678,0.35318154096603394,0.05107874423265457,0.3739262521266937
"(7, 2, 3, 3, 1)",41,0.320095032453537,0.6474843025207521,0.02811150811612606,0.43367230892181396
"(7, 4, 1, 1, 1)",41,0.2921498715877533,0.1760760098695755,0.06197388470172883,0.3943153917789459
"(7, 2, 2, 1, 5, 1)",41,0.32382655143737793,0.13376235961914062,0.03053793124854565,0.4199540317058563
"(7, 3, 2, 2, 1)",41,0.29773378372192383,0.2694516479969025,0.08801477402448654,0.3739802539348602
"(7, 2, 2, 2, 1, 3, 1)",41,0.30702096223831177,0.6075388193130493,0.057354442775249474,0.4345915019512177
"(7, 3, 2, 1, 1, 1, 1)",41,0.291743665933609,0.2682386040687561,0.06680252403020859,0.3604211807250977
"(7, 2, 5, 1, 1, 1)",41,0.293570339679718,0.5309290289878845,0.059159372001886375,0.3870810270309448
"(7, 2, 1, 3, 3, 1)",41,0.31914421916008,0.27346402406692505,0.08540060371160507,0.4167272746562958
"(7, 3, 1, 4, 1)",41,0.29684585332870483,0.20824825763702395,0.10638018697500227,0.3611715435981751
"(7, 2, 3, 1, 3, 1, 1)",41,0.3355114758014679,0.5032380223274231,0.161009281873703,0.5095817446708679
"(7, 3, 1, 2, 2, 1)",41,0.3129928410053253,0.9278223514556884,0.07701612263917923,0.3800337016582489
"(7, 2, 3, 1, 4, 1)",42,0.302421897649765,0.27623653411865234,0.06951256096363068,0.3599420189857483
"(7, 2, 1, 1, 4, 2, 1)",42,0.3233670294284821,0.4168219864368439,0.0900288075208664,0.3822038173675537
"(7, 2, 1, 1, 6, 1, 1)",42,0.31693512201309204,0.3085508346557617,0.10303400456905364,0.3930103778839111
"(7, 2, 4, 1, 2, 1, 1)",42,0.3136556446552277,0.2333027869462967,0.14601987600326538,0.3991791307926178
"(7, 3, 1, 2, 1, 2, 1)",42,0.28854623436927795,0.2329435646533966,0.07531525939702988,0.4065810441970825
"(7, 3, 1, 1, 1, 3, 1)",42,0.6792186498641968,0.8046173453330994,0.3005737364292145,0.7130142450332642
"(7, 2, 2, 3, 2, 1)",42,0.2929326891899109,0.30715882778167725,0.060575999319553375,0.35977697372436523
"(7, 2, 1, 4, 1, 3, 1)",42,0.3165620863437653,0.6445297002792358,0.2560975551605225,0.4443999826908112
"(7, 2, 4, 1, 1, 2, 1)",42,0.2990266978740692,0.2898815870285034,0.08838000148534775,0.3651168942451477
"(7, 2, 1, 4, 2, 1, 1)",42,0.322357177734375,0.3382411301136017,0.08546525239944458,0.4555566906929016
"(7, 2, 1, 2, 2, 3, 1)",42,0.29703405499458313,0.2451982796192169,0.1203545406460762,0.3836783468723297
"(7, 2, 2, 3, 1, 2, 1)",42,0.32423993945121765,0.17430521547794342,0.06114694848656655,0.4182178676128388
"(7, 2, 1, 1, 2, 4, 1)",42,0.3072158396244049,0.492148220539093,0.04204291105270386,0.3805144429206848
"(7, 2, 1, 2, 1, 5, 1)",42,0.3146959245204925,0.18973572552204127,0.04648056998848915,0.3570573627948761
"(7, 2, 1, 3, 1, 4, 1)",42,0.3029187321662903,0.655899167060852,0.06093858554959297,0.4018271565437317
"(7, 3, 1, 1, 3, 1, 1)",42,0.3089069426059723,0.4261200428009033,0.047928620129823685,0.4092913866043091
"(7, 2, 1, 5, 1, 2, 1)",42,0.3035933971405029,0.22586344182491305,0.06971140950918198,0.3691297769546509
"(7, 2, 1, 6, 1, 1, 1)",42,0.2986224293708801,0.2938920259475708,0.034733232110738754,0.4052798748016357
"(7, 3, 3, 1, 1)",42,0.2894512414932251,0.29627713561058044,0.03999411687254906,0.39585718512535095
"(7, 3, 2, 1, 2, 1)",42,0.3233032524585724,0.2298392057418823,0.028428886085748683,0.41524210572242737
"(7, 2, 1, 1, 1, 6, 1)",42,0.30277106165885925,0.22461086511611936,0.07254213094711304,0.3681341111660004
"(7, 3, 1, 3, 1, 1, 1)",42,0.3111802339553833,0.4080483615398407,0.11292114853858948,0.5125185251235962
"(7, 2, 3, 1, 2, 2, 1)",42,0.3028330206871033,0.1581835150718689,0.057648990303277976,0.3568376302719116
"(7, 2, 2, 1, 2, 3, 1)",42,0.31815725564956665,0.3602257072925568,0.027499927207827568,0.36932405829429626
"(7, 2, 1, 2, 4, 1, 1)",42,0.2971448004245758,0.2000995725393296,0.0535382591187954,0.3632660210132599
"(7, 2, 1, 3, 2, 2, 1)",42,0.29240530729293823,0.24599894881248474,0.03901027143001557,0.39593079686164856
"(7, 2, 2, 1, 3, 2, 1)",42,0.33039507269859314,0.5139574408531189,0.14802734553813934,0.4264363050460816
"(7, 2, 3, 2, 2, 1)",42,0.31708386540412903,0.21280577778816226,0.043932091444730766,0.3715006411075592
